"","PLAYER","GP","GS","MIN","PPG","OFFR","DEFR","RPG","APG","SPG","BPG","TPG","FPG","A/TO","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","2PM","2PA","2P%","PPS","AFG%"
"1","Andre Iguodala, SF",10,9,27.5,7.7,0.7,4.4,5.1,3.5,1.3,0.4,0.8,1.7,4.4,2.7,6,0.45,1.1,2.9,0.379,1.2,2,0.6,1.6,3.1,0.516,1.283,0.54
"2","Damian Jones, C",4,0,2.8,1,0.3,0.5,0.8,0,0,0,0.8,1,0,0.3,0.5,0.5,0,0,0,0.5,0.8,0.67,0.3,0.5,0.5,2,0.5
"3","David West, PF",10,0,12,4.4,0.7,2.1,2.8,2.3,0.6,0.7,0.6,1.4,3.8,2,3.3,0.606,0,0.1,0,0.4,0.4,1,2,3.2,0.625,1.333,0.61
"4","Draymond Green, PF",10,10,37.4,13.1,2.7,8.8,11.5,9,1.9,1.3,3.1,3.3,2.9,4.7,11.1,0.423,1.6,4.8,0.333,2.1,2.7,0.78,3.1,6.3,0.492,1.18,0.5
"5","JaVale McGee, C",8,6,12.5,6,1.5,2.5,4,0.5,0.38,0.75,0.5,1.8,1,2.6,4.5,0.583,0,0.1,0,0.8,1,0.75,2.6,4.4,0.6,1.333,0.58
"6","Jordan Bell, C",7,0,4.9,0.9,0.3,0.9,1.1,0.9,0.29,0.29,0,0.4,0,0.3,1,0.286,0,0,0,0.3,0.6,0.5,0.3,1,0.286,0.857,0.29
"7","Kevin Durant, SF",10,10,36.8,28,0.5,7.5,8,5,1,1,2.8,1.7,1.8,10.2,20.7,0.493,1.9,6.8,0.279,5.7,6.4,0.89,8.3,13.9,0.597,1.353,0.54
"8","Kevon Looney, SF",10,0,21.3,5,1.8,3,4.8,1.3,0.8,0.4,0.6,3,2.2,2.1,3.8,0.553,0,0.2,0,0.8,1.5,0.53,2.1,3.6,0.583,1.316,0.55
"9","Klay Thompson, SG",10,10,38,21.2,0.6,4.1,4.7,2.3,0.3,0.3,1.4,2.1,1.6,8.4,18.6,0.452,2.8,7.4,0.378,1.6,1.6,1,5.6,11.2,0.5,1.14,0.53
"10","Nick Young, SG",9,2,7.9,1.9,0,0.4,0.4,0.1,0.11,0,0.1,0.6,1,0.6,2.1,0.263,0.6,1.9,0.294,0.2,0.3,0.67,0,0.2,0,0.895,0.39
"11","Quinn Cook, PG",9,0,16.1,6.6,0.2,2.1,2.3,1,0.22,0.22,0.4,1,2.3,2.4,5.8,0.423,0.4,2.6,0.174,1.2,1.6,0.79,2,3.2,0.621,1.135,0.46
"12","Shaun Livingston, PG",10,0,17.7,7.3,0.5,1.5,2,2,0.3,0.1,0.9,1.4,2.2,2.9,6.2,0.468,0,0.1,0,1.5,1.6,0.94,2.9,6.1,0.475,1.177,0.47
"13","Stephen Curry, PG",4,3,31.3,24.5,0.5,4.8,5.3,3.5,2,0.5,3.8,1.5,0.9,8,16.8,0.478,3.8,8.5,0.441,4.8,4.8,1,4.2,8.3,0.515,1.463,0.59
"15","Zaza Pachulia, C",2,0,4,2,2,1,3,0,1,0,0.5,0.5,0,0.5,1,0.5,0,0,0,1,2,0.5,0.5,1,0.5,2,0.5
